donor_id,name,email,region_preference,sector_preference,behaviour_type,preferred_target,budget_cap
DNR0066,Kristina Shaw,nathaniellewis@example.com,West Africa,Health,active,,
DNR0067,Robert Terrell,leonard02@example.net,Southern Africa,Health,passive,,
DNR0068,Paula Vargas,frank92@example.org,East Africa,Entrepreneurship,active,,
DNR0069,Anthony Phillips,lesliejordan@example.net,North Africa,Education,passive,,
DNR0070,Patrick Mclaughlin,wrightlogan@example.net,East Africa,Health,active,,
DNR0071,Stephanie Simmons,megangarcia@example.org,West Africa,Health,active,,
DNR0072,Paul Mack,enunez@example.com,West Africa,Health,selective,,
DNR0073,Michael Green,escobarashley@example.com,East Africa,Education,active,,
DNR0074,Nathaniel Williamson,campbellroy@example.com,North Africa,Education,selective,,
DNR0075,Jonathan Stone,michaelhenry@example.net,West Africa,Education,passive,,
DNR0076,April Bullock,wrightmelissa@example.org,North Africa,Agriculture,selective,,
DNR0077,Dorothy Butler,ethornton@example.org,North Africa,Agriculture,active,,
DNR0078,Charles Jones,paynemelissa@example.org,North Africa,Education,passive,,
DNR0079,Shannon Bell,robert31@example.org,East Africa,Health,active,,
DNR0080,Raven Davis,dylannelson@example.com,West Africa,Agriculture,passive,,
DNR0081,Jonathan Odonnell,timothyhenry@example.org,North Africa,Entrepreneurship,selective,,
DNR0082,Christine Kelley,amyhenry@example.org,East Africa,Health,selective,,
DNR0083,Michelle Stephens,orussell@example.net,West Africa,Education,passive,,
DNR0084,Christopher Garcia,heatherwhite@example.com,West Africa,Education,active,,
DNR0085,Michelle Hall,lopezkaitlin@example.org,East Africa,Entrepreneurship,active,,
DNR0086,Russell Ramirez,ggarcia@example.net,West Africa,Infrastructure,active,,
DNR0087,Aaron Hickman,yolanda96@example.com,Southern Africa,Agriculture,passive,,
DNR0088,Donald Garcia,kempdavid@example.net,Southern Africa,Education,passive,,
DNR0089,James Mckenzie,watsonheather@example.org,East Africa,Agriculture,active,,
DNR0090,Danielle White,porterchristopher@example.net,West Africa,Health,active,,
DNR0091,Douglas Davis,cmartinez@example.com,West Africa,Health,active,,
DNR0092,Dr. Richard Weber II,mwilson@example.org,Southern Africa,Education,selective,,
DNR0093,Luke Bishop,victor93@example.net,West Africa,Education,passive,,
DNR0094,Brooke Stewart,lisawhite@example.org,East Africa,Infrastructure,selective,,
DNR0095,Thomas Holmes,peterspatricia@example.net,Southern Africa,Entrepreneurship,selective,,
DNR0096,Ryan Sanchez,zacharycastillo@example.org,West Africa,Entrepreneurship,passive,,
DNR0097,Jill Sanchez,ericreed@example.org,West Africa,Education,passive,,
DNR0098,Haley Anderson,qjohnson@example.com,West Africa,Entrepreneurship,passive,,
DNR0099,Annette Dunlap,kellytheresa@example.org,Southern Africa,Entrepreneurship,passive,,
DNR0100,Sarah Werner,edwardskevin@example.net,Southern Africa,Education,active,,
DNR0101,Michelle Davidson,parkerjill@example.org,Southern Africa,Entrepreneurship,active,,
DNR0102,Brianna Ross,michaelwoods@example.net,West Africa,Health,active,,
DNR0103,Deborah Turner,douglaswalker@example.org,Southern Africa,Health,passive,,
DNR0104,Veronica Rowland,erinchapman@example.org,East Africa,Agriculture,passive,,
DNR0105,Miranda Silva,mzamora@example.com,North Africa,Entrepreneurship,active,,
DNR0106,Heidi Richardson,cewing@example.org,West Africa,Health,passive,,
DNR0107,Robert Taylor,lmcgrath@example.net,East Africa,Entrepreneurship,passive,,
DNR0108,Tammie Hutchinson,williamskaitlyn@example.net,Southern Africa,Entrepreneurship,active,,
DNR0109,Seth Weiss,philip58@example.com,North Africa,Education,passive,,
DNR0110,Maria Rivera,jennifercruz@example.net,Southern Africa,Health,selective,,
DNR0111,Kent Pearson,kaitlynoconnor@example.com,East Africa,Education,active,,
DNR0112,Steven Dean,fmercado@example.com,Southern Africa,Entrepreneurship,selective,,
DNR0113,Ebony Garcia,hannabrian@example.com,North Africa,Entrepreneurship,active,,
DNR0114,Ian Koch,chase38@example.com,East Africa,Education,selective,,
DNR0115,Jennifer Cross,oneillmaria@example.net,East Africa,Infrastructure,passive,,
DNR0116,Billy Caldwell,davilakerry@example.com,Southern Africa,Infrastructure,selective,,
DNR0117,Tracey Harris,merrittroger@example.com,East Africa,Agriculture,passive,,
DNR0118,Michele Taylor,robert10@example.org,West Africa,Infrastructure,selective,,
DNR0119,Brian Morgan,wallslaura@example.org,North Africa,Education,passive,,
DNR0120,Leonard Miller,butlernathan@example.org,North Africa,Agriculture,passive,,
DNR0121,Pamela Thomas,richard60@example.com,East Africa,Education,passive,,
DNR0122,Donald Hunt,ygibson@example.com,East Africa,Infrastructure,passive,,
DNR0123,Gary Bentley,robertwarren@example.com,West Africa,Agriculture,passive,,
DNR0124,Dustin Sutton,jburnett@example.net,North Africa,Entrepreneurship,passive,,
DNR0125,Eric Clark,davidcox@example.org,West Africa,Health,selective,,
DNR0126,Taylor Haney,connerjohnathan@example.com,Southern Africa,Education,active,,
DNR0127,Stacy Fleming,karenrichardson@example.org,Southern Africa,Health,passive,,
DNR0128,Benjamin Curtis,colonmichelle@example.com,North Africa,Agriculture,active,,
DNR0129,Teresa Baker,ujacobson@example.com,Southern Africa,Infrastructure,active,,
DNR0130,Jesse Romero,oweaver@example.com,West Africa,Infrastructure,selective,,
DNR0131,Anita Velasquez,cbarker@example.com,East Africa,Agriculture,passive,,
DNR0132,Guy Warren,christinamiller@example.com,North Africa,Health,active,,
DNR0133,Jennifer Woodard,farleyjennifer@example.net,East Africa,Agriculture,active,,
DNR0134,James Ruiz,cordovajohn@example.com,Southern Africa,Entrepreneurship,passive,,
DNR0135,Victor Knapp,marshallyvonne@example.net,West Africa,Agriculture,active,,
DNR0136,Timothy Lopez,jack19@example.org,North Africa,Agriculture,active,,
DNR0137,Nicole Burton,kevinhouston@example.com,Southern Africa,Entrepreneurship,passive,,
DNR0138,Dalton Dawson,smiththomas@example.com,North Africa,Infrastructure,active,,
DNR0139,Melinda Morris,scottlevy@example.org,East Africa,Entrepreneurship,active,,
DNR0140,Tony Roth,monica46@example.net,North Africa,Entrepreneurship,selective,,
DNR0141,Robert Cruz,kimberlyzimmerman@example.org,Southern Africa,Agriculture,passive,,
DNR0142,Adam Cabrera,vincent39@example.net,Southern Africa,Infrastructure,active,,
DNR0143,Alex Sampson,janet40@example.com,East Africa,Entrepreneurship,active,,
DNR0144,David Moreno,thomastran@example.net,East Africa,Health,passive,,
DNR0145,Christine Mitchell,rblevins@example.org,Southern Africa,Health,selective,,
DNR0146,Kevin Oconnor,vickie60@example.com,East Africa,Agriculture,passive,,
DNR0147,Carol Nash DDS,portersierra@example.net,East Africa,Education,passive,,
DNR0148,Katie Henderson,collinslaura@example.org,East Africa,Infrastructure,active,,
DNR0149,Charles Anderson,knightnathan@example.net,West Africa,Infrastructure,active,,
DNR0150,Christopher Rodriguez,qadams@example.com,East Africa,Infrastructure,active,,
DNR0151,Jacob Miranda,cathyspence@example.com,East Africa,Education,active,,
DNR0152,Lisa Martinez,noblemackenzie@example.com,West Africa,Health,active,,
DNR0153,Patricia Martin,ruth06@example.com,East Africa,Education,selective,,
DNR0154,Brandon Romero,iglass@example.net,North Africa,Health,active,,
DNR0155,Megan Miller,jennifer23@example.com,West Africa,Infrastructure,passive,,
DNR0156,Jordan Pena,jason01@example.org,North Africa,Entrepreneurship,selective,,
DNR0157,Paul Hoover,kevin70@example.net,Southern Africa,Infrastructure,active,,
DNR0158,Aaron Mullins,daniel64@example.org,North Africa,Entrepreneurship,active,,
DNR0159,Mark Davis,michael71@example.org,East Africa,Infrastructure,active,,
DNR0160,Cheyenne Shaw,stacy78@example.org,East Africa,Agriculture,active,,
DNR0161,Mrs. Kelly Romero MD,saundersbrenda@example.com,North Africa,Education,passive,,
DNR0162,Melissa Schwartz,krista70@example.org,West Africa,Agriculture,passive,,
DNR0163,Cole Melendez,kimberlypatterson@example.net,Southern Africa,Agriculture,selective,,
DNR0164,Adam Gregory,cmueller@example.com,West Africa,Education,passive,,
DNR0165,Erica Mcdonald,stephaniesellers@example.org,North Africa,Education,active,,
DNR0166,Samantha Sutton,rachael50@example.org,West Africa,Infrastructure,active,,
DNR0167,Robert Hickman,laura80@example.net,North Africa,Infrastructure,passive,,
DNR0168,Victoria Martinez,lorihughes@example.net,North Africa,Infrastructure,selective,,
DNR0169,Heidi Davis,stevenjohnson@example.net,West Africa,Entrepreneurship,passive,,
DNR0170,Debra Pena,mcgeemichael@example.net,West Africa,Agriculture,passive,,
DNR0171,Lisa Torres,angelasims@example.org,North Africa,Infrastructure,active,,
DNR0172,Eduardo Mosley,jessica53@example.org,East Africa,Infrastructure,passive,,
DNR0173,Ernest Henry,ochambers@example.org,North Africa,Infrastructure,passive,,
DNR0174,Richard Smith,tracisilva@example.net,Southern Africa,Infrastructure,active,,
DNR0175,Tammy Weeks,fisherstacy@example.net,North Africa,Education,selective,,
DNR0176,Crystal Martin,odunn@example.com,West Africa,Infrastructure,active,,
DNR0177,Lauren Duarte,antonio23@example.com,West Africa,Health,active,,
DNR0178,Bobby Hicks,smithjulie@example.net,East Africa,Infrastructure,passive,,
DNR0179,William Nicholson,hcallahan@example.net,Southern Africa,Infrastructure,passive,,
DNR0180,Kara Dodson,marylewis@example.com,North Africa,Agriculture,passive,,
DNR0181,Jenna Owens,nancy45@example.net,North Africa,Agriculture,active,,
DNR0182,Joshua Campbell,mariah18@example.org,North Africa,Agriculture,selective,,
DNR0183,Caroline Stone,derekwatts@example.com,North Africa,Health,active,,
DNR0184,Brandon Nelson,debra82@example.org,West Africa,Agriculture,passive,,
DNR0185,Michael Valdez,melanie32@example.org,West Africa,Health,active,,
DNR0186,Stephen Chapman,amandacarter@example.net,East Africa,Education,selective,,
DNR0187,Todd Cabrera,whitewilliam@example.net,East Africa,Education,passive,,
DNR0188,Jeff Dennis,bscott@example.com,West Africa,Entrepreneurship,selective,,
DNR0189,Troy Beltran,rodneymorris@example.net,North Africa,Agriculture,active,,
DNR0190,Melinda Garcia,katrinajackson@example.org,East Africa,Entrepreneurship,active,,
DNR0191,Wayne Reynolds,angelbradshaw@example.org,West Africa,Education,selective,,
DNR0192,Kristen Thompson,mosskimberly@example.com,West Africa,Entrepreneurship,passive,,
DNR0193,Angela Daniel,xcopeland@example.net,Southern Africa,Entrepreneurship,active,,
DNR0194,Jamie Klein,buckleyroberto@example.com,North Africa,Infrastructure,selective,,
DNR0195,Charles Warren,erin43@example.org,East Africa,Health,active,,
DNR0196,Sarah Aguirre,pamela12@example.org,East Africa,Health,active,,
DNR0197,Kelly Bradley,prattbenjamin@example.org,Southern Africa,Entrepreneurship,selective,,
DNR0198,Emily Flores,wilsonandrew@example.org,West Africa,Agriculture,active,,
DNR0199,Patricia Klein,iferguson@example.com,Southern Africa,Health,active,,
DNR0200,Sabrina Bennett,ayoung@example.net,Southern Africa,Health,selective,,
DNR0201,Amber Duran,lhowe@example.com,North Africa,Health,active,,
DNR0202,Corey Boyle,andreayork@example.net,Southern Africa,Infrastructure,active,,
DNR0203,Anthony Young,jamesclinton@example.org,North Africa,Education,active,,
DNR0204,Michelle Shaw,brandoncoleman@example.net,Southern Africa,Entrepreneurship,selective,,
DNR0205,Joseph Cox,kimberlylee@example.net,North Africa,Infrastructure,active,,
DNR0206,Kelly Lewis,sarmstrong@example.org,Southern Africa,Agriculture,selective,,
DNR0207,Jill Jenkins,michael35@example.net,West Africa,Agriculture,selective,,
DNR0208,Michelle Walker,davispenny@example.net,East Africa,Infrastructure,active,,
DNR0209,Stephen Herrera,yconway@example.org,North Africa,Agriculture,passive,,
DNR0210,Chris Acosta,travis30@example.com,Southern Africa,Education,active,,
DNR0211,John Guerra,ericarcher@example.com,Southern Africa,Agriculture,passive,,
DNR0212,Christopher Mitchell,kmurray@example.com,Southern Africa,Entrepreneurship,passive,,
DNR0213,Victoria Tyler,ofuller@example.net,East Africa,Health,passive,,
DNR0214,Lance Reed,xcastillo@example.org,North Africa,Infrastructure,active,,
DNR0215,Rachel Fields,charles29@example.org,East Africa,Infrastructure,active,,
DNR0216,Dr. David Olson,philip98@example.net,North Africa,Infrastructure,active,,
DNR0217,Donald Warner,jcummings@example.com,West Africa,Agriculture,passive,,
DNR0218,Jesus Mitchell,allison16@example.com,East Africa,Agriculture,active,,
DNR0219,Kristine Sexton,cpatterson@example.net,Southern Africa,Infrastructure,active,,
DNR0220,Cynthia Madden,keith43@example.org,Southern Africa,Infrastructure,selective,,
DNR0221,Jennifer Newman,iwilliams@example.org,Southern Africa,Agriculture,active,,
DNR0222,Eric Marks,michelle91@example.org,Southern Africa,Agriculture,passive,,
DNR0223,Don Tucker,smithrobert@example.net,West Africa,Education,passive,,
DNR0224,Tiffany Coleman,zgreen@example.com,East Africa,Education,passive,,
DNR0225,Omar Mcdonald,georgepena@example.com,North Africa,Agriculture,active,,
DNR0226,John Nelson,robertbryant@example.net,Southern Africa,Health,selective,,
DNR0227,Robert Monroe,nicholas29@example.org,Southern Africa,Education,passive,,
DNR0228,Christopher Drake,medinamary@example.com,Southern Africa,Health,active,,
DNR0229,Nathaniel Lee,wilsonchris@example.com,East Africa,Agriculture,passive,,
DNR0230,Garrett Ryan,taylorgary@example.org,West Africa,Entrepreneurship,passive,,
DNR0231,Clayton Carlson,susankent@example.net,East Africa,Infrastructure,passive,,
DNR0232,Mary Duarte,beckrachel@example.net,West Africa,Entrepreneurship,passive,,
DNR0233,Dennis Vazquez,hillerik@example.com,North Africa,Infrastructure,passive,,
DNR0234,Joshua Bradshaw,kelsey93@example.org,West Africa,Agriculture,selective,,
DNR0235,Richard Newton,wilcoxmarcia@example.org,North Africa,Health,selective,,
DNR0236,Veronica Leonard,kswanson@example.org,North Africa,Infrastructure,passive,,
DNR0237,Elizabeth Dixon,victoriabailey@example.net,West Africa,Education,passive,,
DNR0238,Timothy Finley,anthonysilva@example.com,Southern Africa,Health,selective,,
DNR0239,Megan Robinson,adam92@example.com,West Africa,Entrepreneurship,active,,
DNR0240,Susan Mcclure,michael67@example.com,East Africa,Entrepreneurship,passive,,
DNR0241,Denise Mcpherson,cory16@example.org,North Africa,Agriculture,selective,,
DNR0242,Kristen Vega,dtucker@example.net,North Africa,Agriculture,active,,
DNR0243,William Cruz,hortiz@example.net,West Africa,Entrepreneurship,selective,,
DNR0244,Brian Gonzalez,andersoneileen@example.com,West Africa,Education,active,,
DNR0245,Kathryn Navarro,davidsonmark@example.com,Southern Africa,Health,passive,,
DNR0246,Eric Fisher,davisanthony@example.com,East Africa,Entrepreneurship,passive,,
DNR0247,Frederick Park,shawnhoward@example.org,West Africa,Infrastructure,active,,
DNR0248,Monica Kennedy,dunnethan@example.com,North Africa,Agriculture,passive,,
DNR0249,Christina Martinez,harrisonkayla@example.org,Southern Africa,Agriculture,active,,
DNR0250,Stephanie Moore,ryanyates@example.com,North Africa,Health,active,,
DNR0251,Sandra Sanchez,mindymckinney@example.org,Southern Africa,Entrepreneurship,active,,
DNR0252,James Ray,nancyjohnson@example.net,East Africa,Infrastructure,passive,,
DNR0253,Lindsay Kelley,roberto49@example.com,East Africa,Education,selective,,
DNR0254,Leslie Mcdaniel,tsparks@example.com,East Africa,Health,passive,,
DNR0255,Jasmine Miller,debra38@example.org,Southern Africa,Entrepreneurship,active,,
DNR0256,Stacie Cross,kevinlewis@example.net,Southern Africa,Infrastructure,passive,,
DNR0257,Erin Bennett,ortegasteven@example.org,Southern Africa,Infrastructure,selective,,
DNR0258,Lisa Paul,maryhamilton@example.com,North Africa,Infrastructure,passive,,
DNR0259,Megan Nelson,jonesashley@example.org,West Africa,Infrastructure,active,,
DNR0260,Victoria Peters,lindawilliamson@example.org,Southern Africa,Health,passive,,
DNR0261,Michael Hooper,bryanttimothy@example.org,West Africa,Agriculture,active,,
DNR0262,Sandra Good,saundersgerald@example.com,East Africa,Infrastructure,active,,
DNR0263,Roger Jackson,brownjeffery@example.com,North Africa,Agriculture,passive,,
DNR0264,Caitlin Charles,wadejeremy@example.com,North Africa,Infrastructure,selective,,
DNR0265,Kellie Baldwin,jonesyvonne@example.org,North Africa,Agriculture,active,,
DNR0266,Beth Strickland,davilaholly@example.org,Southern Africa,Health,selective,,
DNR0267,Michelle Rhodes,vperry@example.org,Southern Africa,Infrastructure,active,,
DNR0268,Donald Calderon MD,laurenwilson@example.net,Southern Africa,Infrastructure,selective,,
DNR0269,Linda Logan,lanethomas@example.com,West Africa,Infrastructure,passive,,
DNR0270,Michelle Cobb,traviskline@example.com,Southern Africa,Agriculture,passive,,
DNR0271,Jonathan Lawrence,pmurray@example.net,North Africa,Entrepreneurship,selective,,
DNR0272,Brian Powers,xquinn@example.org,West Africa,Entrepreneurship,active,,
DNR0273,Angela Ho,teresa05@example.com,West Africa,Education,active,,
DNR0274,David Wright,nancyjennings@example.com,North Africa,Infrastructure,active,,
DNR0275,Gabrielle Carter,victoriamartinez@example.org,East Africa,Agriculture,active,,
DNR0276,Thomas Morgan,andradebrandon@example.com,Southern Africa,Infrastructure,selective,,
DNR0277,Judith Hansen,loretta20@example.org,North Africa,Health,passive,,
DNR0278,Steven Ho,rileybennett@example.com,East Africa,Education,passive,,
DNR0279,Carol Townsend,fbaker@example.org,West Africa,Entrepreneurship,active,,
DNR0280,Philip Price,margaretobrien@example.org,East Africa,Health,active,,
DNR0281,Kimberly Benjamin,erika13@example.com,West Africa,Education,active,,
DNR0282,Morgan Scott,ronaldnguyen@example.net,Southern Africa,Entrepreneurship,active,,
DNR0283,Dustin Thompson,cynthialane@example.org,North Africa,Infrastructure,selective,,
DNR0284,Teresa Wolf,figueroaolivia@example.net,East Africa,Infrastructure,active,,
DNR0285,Nicholas Kirby,jessicawilcox@example.org,North Africa,Education,selective,,
DNR0286,Debra Herrera,obrown@example.org,East Africa,Health,passive,,
DNR0287,Gregory Tucker,warrenchristopher@example.com,North Africa,Agriculture,selective,,
DNR0288,Katie Wright,rickyryan@example.org,Southern Africa,Health,passive,,
DNR0289,David Johnson,adamsbrian@example.org,Southern Africa,Entrepreneurship,active,,
DNR0290,Kristina Sheppard,williamskevin@example.com,North Africa,Education,active,,
DNR0291,Ashley Brown,reeddonna@example.net,North Africa,Agriculture,passive,,
DNR0292,John West DDS,udillon@example.net,North Africa,Infrastructure,selective,,
DNR0293,Brandi Griffin,larsonaaron@example.org,East Africa,Education,active,,
DNR0294,Amy Contreras,andersenrobin@example.net,East Africa,Infrastructure,passive,,
DNR0295,Amy Conway,jennyromero@example.com,North Africa,Infrastructure,passive,,
DNR0296,Isabel Rodriguez,scastillo@example.net,East Africa,Infrastructure,selective,,
DNR0297,Mrs. Christina Reynolds DDS,lroth@example.com,East Africa,Entrepreneurship,selective,,
DNR0298,Sandra Andrews,brianlarson@example.net,Southern Africa,Health,selective,,
DNR0299,Matthew Larson,jesseshaw@example.net,North Africa,Health,active,,
DNR0300,Mark Carpenter,vicki15@example.net,North Africa,Health,active,,
DNR0301,Tasha Salinas,bochoa@example.com,North Africa,Education,passive,,
DNR0302,James Stewart,njohnson@example.com,Southern Africa,Agriculture,active,,
DNR0303,Jack Hancock,msmith@example.com,North Africa,Health,selective,,
DNR0304,Justin Pierce,browncassandra@example.com,North Africa,Agriculture,active,,
DNR0305,Dr. Brittney Perez,ashley19@example.com,North Africa,Entrepreneurship,passive,,
DNR0306,Charles Davis,robin63@example.org,West Africa,Education,active,,
DNR0307,Gina Black,masonrachel@example.org,Southern Africa,Education,active,,
DNR0308,David Donaldson,kimberly65@example.org,North Africa,Health,active,,
DNR0309,John Burch,mercertrevor@example.net,West Africa,Infrastructure,passive,,
DNR0310,Laura Villegas,oliverbrianna@example.com,Southern Africa,Health,passive,,
DNR0311,Mr. Michael Jackson,rosalesjames@example.com,West Africa,Agriculture,passive,,
DNR0312,Shannon Cortez,tracyjones@example.org,North Africa,Education,passive,,
DNR0313,Mary Rodriguez,foxsarah@example.net,North Africa,Entrepreneurship,active,,
DNR0314,Kelsey Schroeder,emilymccann@example.org,East Africa,Education,passive,,
DNR0315,Danielle Cohen,dickersonmichael@example.org,North Africa,Entrepreneurship,active,,
DNR0316,Christina Harris,jacobsbrian@example.net,North Africa,Entrepreneurship,passive,,
DNR0317,Michelle Green,andrealamb@example.net,North Africa,Agriculture,active,,
DNR0318,Janet Friedman,iyoung@example.org,West Africa,Infrastructure,selective,,
DNR0319,Pamela Wilson,shawnthomas@example.com,East Africa,Health,active,,
DNR0320,Angela House,kennedykara@example.net,Southern Africa,Entrepreneurship,passive,,
DNR0321,Tyler Romero,kimberly28@example.net,North Africa,Agriculture,active,,
DNR0322,Stephanie Cherry,acevedoamy@example.org,Southern Africa,Education,selective,,
DNR0323,Lisa Hale,vfinley@example.org,North Africa,Health,passive,,
DNR0324,Alejandro Hudson,johnsonstephanie@example.com,Southern Africa,Entrepreneurship,passive,,
DNR0325,Jessica Wolfe,laurenbrown@example.com,Southern Africa,Health,selective,,
DNR0326,Peter Williams,deniseduncan@example.com,North Africa,Agriculture,passive,,
DNR0327,Jamie Norman,amybond@example.org,West Africa,Entrepreneurship,active,,
DNR0328,Micheal Luna,ernestgoodwin@example.org,Southern Africa,Education,active,,
DNR0329,Barbara Hoffman,qshort@example.net,Southern Africa,Education,active,,
DNR0330,Jeremy Bowen,ugarrett@example.org,Southern Africa,Education,active,,
DNR0331,Denise Jackson,sarahpeterson@example.org,West Africa,Agriculture,active,,
DNR0332,Thomas Waller,ianmarshall@example.org,West Africa,Entrepreneurship,passive,,
DNR0333,Jesse West,gcastaneda@example.org,East Africa,Health,selective,,
DNR0334,Katherine Davis,hthompson@example.com,Southern Africa,Infrastructure,passive,,
DNR0335,David Taylor,johnsonkimberly@example.org,East Africa,Entrepreneurship,selective,,
DNR0336,Mckenzie Andrews,romerobarbara@example.org,Southern Africa,Entrepreneurship,active,,
DNR0337,Tanner Jordan,toddrosario@example.com,Southern Africa,Education,passive,,
DNR0338,Sherry Baker,melissa46@example.org,North Africa,Agriculture,active,,
DNR0339,Larry Fisher,brandonjohnson@example.net,Southern Africa,Health,active,,
DNR0340,Michael Zhang,jonathan86@example.org,West Africa,Education,active,,
DNR0341,Michelle Andrews,blevinskyle@example.com,East Africa,Infrastructure,selective,,
DNR0342,Richard Martin,qgraham@example.com,Southern Africa,Health,active,,
DNR0343,James Patterson,dmiller@example.com,West Africa,Agriculture,active,,
DNR0344,Pamela Smith,xmorris@example.com,North Africa,Agriculture,active,,
DNR0345,Elizabeth Johnson,taylorsarah@example.net,Southern Africa,Entrepreneurship,passive,,
DNR0346,Matthew Choi,william32@example.com,Southern Africa,Health,active,,
DNR0347,Amanda Holland,joshua39@example.org,North Africa,Health,active,,
