project_id,title,region,sector_focus,funding_target,organisation_type,popularity
PR0043,Intuitive system-worthy process improvement,West Africa,Education,17579,NGO,2
PR0044,Integrated fresh-thinking access,East Africa,Infrastructure,69794,Social Enterprise,0
PR0045,Implemented even-keeled extranet,West Africa,Entrepreneurship,9257,Social Enterprise,2
PR0046,Seamless incremental frame,East Africa,Agriculture,75396,Faith-Based Org,2
PR0047,Advanced logistical contingency,Southern Africa,Health,18968,NGO,3
PR0048,Cloned multi-tasking frame,Southern Africa,Education,96213,Social Enterprise,1
PR0049,Re-contextualized systemic system engine,North Africa,Education,41787,Social Enterprise,0
PR0050,Decentralized transitional collaboration,North Africa,Health,74594,Social Enterprise,2
PR0051,Enterprise-wide demand-driven array,West Africa,Infrastructure,45420,Social Enterprise,2
PR0052,Visionary exuding focus group,North Africa,Health,8427,Social Enterprise,1
PR0053,Front-line optimizing middleware,Southern Africa,Education,98297,NGO,3
PR0054,Advanced disintermediate data-warehouse,East Africa,Entrepreneurship,84024,NGO,2
PR0055,Distributed hybrid system engine,Southern Africa,Health,17472,Social Enterprise,3
PR0056,Pre-emptive transitional algorithm,Southern Africa,Agriculture,21217,CBO,2
PR0057,Switchable regional synergy,East Africa,Entrepreneurship,15333,CBO,0
PR0058,Vision-oriented motivating collaboration,West Africa,Agriculture,45827,NGO,2
PR0059,Versatile directional help-desk,Southern Africa,Entrepreneurship,91232,Social Enterprise,1
PR0060,Centralized asymmetric help-desk,West Africa,Infrastructure,10339,Social Enterprise,1
PR0061,Ergonomic directional framework,North Africa,Health,91231,Social Enterprise,3
PR0062,Customizable non-volatile contingency,Southern Africa,Health,22942,NGO,1
PR0063,Open-source interactive Graphic Interface,West Africa,Entrepreneurship,5525,NGO,4
PR0064,Intuitive high-level function,North Africa,Health,66502,Social Enterprise,2
PR0065,Synergistic foreground middleware,North Africa,Entrepreneurship,19010,Social Enterprise,0
PR0066,Intuitive needs-based infrastructure,East Africa,Entrepreneurship,78556,CBO,4
PR0067,Operative scalable migration,West Africa,Agriculture,27069,CBO,5
PR0068,Up-sized well-modulated knowledge user,West Africa,Health,66645,CBO,2
PR0069,Optional zero tolerance knowledge user,East Africa,Education,94449,CBO,0
PR0070,Proactive asynchronous budgetary management,North Africa,Health,94313,Social Enterprise,0
PR0071,Managed bandwidth-monitored monitoring,East Africa,Infrastructure,76770,CBO,1
PR0072,Phased bi-directional portal,West Africa,Infrastructure,32657,Faith-Based Org,1
PR0073,Enterprise-wide reciprocal support,East Africa,Entrepreneurship,43365,Social Enterprise,2
PR0074,Automated multimedia challenge,East Africa,Infrastructure,82433,Faith-Based Org,2
PR0075,Sharable human-resource projection,Southern Africa,Agriculture,37640,NGO,5
PR0076,De-engineered bi-directional archive,North Africa,Agriculture,89978,Faith-Based Org,1
PR0077,Profound executive focus group,West Africa,Health,58155,CBO,2
PR0078,Synchronized clear-thinking solution,Southern Africa,Education,80578,CBO,4
PR0079,Ergonomic demand-driven matrices,West Africa,Education,22360,NGO,1
PR0080,Monitored fault-tolerant productivity,East Africa,Education,11103,NGO,2
PR0081,Function-based modular moratorium,North Africa,Education,33591,Social Enterprise,1
PR0082,Customer-focused 4thgeneration secured line,West Africa,Entrepreneurship,5369,CBO,4
PR0083,Mandatory eco-centric projection,West Africa,Health,59179,NGO,5
PR0084,Realigned maximized product,Southern Africa,Education,63598,CBO,2
PR0085,Decentralized user-facing parallelism,East Africa,Health,53333,Social Enterprise,1
PR0086,Quality-focused radical emulation,North Africa,Infrastructure,91444,Social Enterprise,3
PR0087,Cross-group optimizing migration,North Africa,Education,88237,CBO,2
PR0088,Customer-focused composite Graphic Interface,East Africa,Infrastructure,51291,CBO,5
PR0089,Cross-group client-driven synergy,East Africa,Infrastructure,69082,Social Enterprise,5
PR0090,Virtual zero tolerance synergy,North Africa,Health,38044,NGO,5
PR0091,Multi-tiered neutral solution,North Africa,Infrastructure,25788,NGO,1
PR0092,Persevering 3rdgeneration database,West Africa,Infrastructure,73718,Social Enterprise,0
PR0093,Persistent local leverage,East Africa,Infrastructure,19472,Social Enterprise,1
PR0094,Horizontal reciprocal protocol,East Africa,Agriculture,41612,CBO,2
PR0095,Progressive multi-state groupware,North Africa,Health,67027,NGO,1
PR0096,Multi-layered encompassing middleware,North Africa,Agriculture,44740,CBO,0
PR0097,Open-source encompassing projection,North Africa,Education,95234,Social Enterprise,2
PR0098,Horizontal coherent standardization,North Africa,Infrastructure,40342,CBO,2
PR0099,Horizontal upward-trending process improvement,North Africa,Education,62426,CBO,1
PR0100,Open-architected zero administration attitude,West Africa,Education,89570,Faith-Based Org,0
PR0101,Quality-focused solution-oriented website,North Africa,Education,77318,CBO,3
PR0102,Horizontal asynchronous capacity,West Africa,Agriculture,99534,Social Enterprise,3
PR0103,Networked grid-enabled challenge,Southern Africa,Health,40626,Social Enterprise,1
PR0104,Compatible multi-tasking array,North Africa,Health,13253,NGO,0
PR0105,Total leadingedge focus group,East Africa,Agriculture,38043,CBO,0
PR0106,Profound 4thgeneration implementation,East Africa,Infrastructure,74248,NGO,4
PR0107,Fully-configurable 4thgeneration application,East Africa,Health,47909,Faith-Based Org,1
PR0108,Front-line hybrid protocol,Southern Africa,Health,68048,CBO,3
PR0109,Horizontal user-facing protocol,East Africa,Health,45152,Faith-Based Org,4
PR0110,Configurable fresh-thinking leverage,Southern Africa,Agriculture,81833,CBO,1
PR0111,Implemented regional process improvement,North Africa,Entrepreneurship,79083,Social Enterprise,1
PR0112,Distributed 4thgeneration budgetary management,West Africa,Infrastructure,66846,CBO,0
PR0113,Down-sized dedicated system engine,East Africa,Agriculture,11003,Social Enterprise,0
PR0114,Programmable context-sensitive access,Southern Africa,Infrastructure,36610,Social Enterprise,0
PR0115,Persistent background toolset,North Africa,Education,61468,NGO,3
PR0116,Right-sized 5thgeneration groupware,West Africa,Health,79076,CBO,2
PR0117,Sharable logistical strategy,East Africa,Infrastructure,10751,CBO,2
PR0118,Universal disintermediate challenge,North Africa,Infrastructure,75120,NGO,1
PR0119,Down-sized composite architecture,West Africa,Entrepreneurship,62839,CBO,2
PR0120,Front-line systematic architecture,East Africa,Education,33635,Social Enterprise,2
PR0121,Upgradable demand-driven hardware,West Africa,Health,38614,NGO,0
PR0122,Expanded 24hour capability,North Africa,Health,41754,Faith-Based Org,1
PR0123,Advanced logistical groupware,East Africa,Health,49671,CBO,3
PR0124,Down-sized interactive Local Area Network,West Africa,Health,37809,CBO,4
PR0125,Organized grid-enabled product,West Africa,Infrastructure,95308,Social Enterprise,3
PR0126,Open-architected full-range knowledgebase,East Africa,Health,69166,CBO,0
PR0127,Adaptive well-modulated intranet,North Africa,Agriculture,18119,NGO,0
PR0128,Horizontal global toolset,East Africa,Entrepreneurship,41394,NGO,0
PR0129,Front-line discrete leverage,North Africa,Agriculture,51779,Faith-Based Org,1
PR0130,Seamless non-volatile standardization,East Africa,Health,17780,NGO,2
PR0131,Object-based logistical moratorium,Southern Africa,Education,27553,CBO,2
PR0132,Horizontal cohesive protocol,East Africa,Health,28513,CBO,5
PR0133,Mandatory zero tolerance extranet,East Africa,Education,22383,Social Enterprise,1
PR0134,Diverse impactful Graphical User Interface,North Africa,Health,91725,Faith-Based Org,3
PR0135,Advanced global groupware,East Africa,Entrepreneurship,22631,NGO,4
PR0136,Re-contextualized directional parallelism,West Africa,Education,53056,Social Enterprise,2
PR0137,User-friendly actuating budgetary management,North Africa,Education,95166,NGO,3
PR0138,Multi-tiered optimizing solution,East Africa,Infrastructure,54556,NGO,2
PR0139,Right-sized needs-based encoding,East Africa,Agriculture,9604,CBO,1
PR0140,Mandatory methodical hierarchy,North Africa,Health,16118,CBO,4
PR0141,Down-sized stable archive,East Africa,Health,25150,Faith-Based Org,1
PR0142,Enterprise-wide cohesive algorithm,West Africa,Infrastructure,35049,CBO,3
PR0143,User-friendly systematic project,Southern Africa,Entrepreneurship,98549,Social Enterprise,1
PR0144,Pre-emptive discrete monitoring,North Africa,Education,82892,CBO,1
PR0145,Multi-lateral next generation forecast,North Africa,Infrastructure,27562,Faith-Based Org,3
PR0146,Balanced human-resource support,Southern Africa,Agriculture,39108,CBO,0
PR0147,Reverse-engineered 24/7 forecast,West Africa,Education,58191,Social Enterprise,1
PR0148,Visionary regional alliance,North Africa,Entrepreneurship,65931,NGO,1
PR0149,Vision-oriented full-range productivity,West Africa,Education,12050,CBO,0
PR0150,Optional explicit time-frame,West Africa,Entrepreneurship,67825,Faith-Based Org,1
PR0151,Quality-focused 24/7 policy,East Africa,Health,72889,CBO,2
PR0152,Optimized fault-tolerant workforce,East Africa,Education,36520,NGO,0
PR0153,Grass-roots intermediate alliance,West Africa,Education,75648,NGO,3
PR0154,Open-architected contextually-based project,Southern Africa,Entrepreneurship,75459,NGO,4
PR0155,Customer-focused 3rdgeneration structure,Southern Africa,Agriculture,48525,CBO,4
PR0156,Optimized object-oriented standardization,East Africa,Health,61062,Faith-Based Org,1
PR0157,Monitored cohesive parallelism,East Africa,Education,33902,NGO,1
PR0158,Multi-layered global hierarchy,East Africa,Entrepreneurship,62979,NGO,0
PR0159,Virtual intermediate function,North Africa,Entrepreneurship,15506,Social Enterprise,0
PR0160,Synergized motivating circuit,North Africa,Education,94304,Social Enterprise,4
PR0161,Focused regional methodology,Southern Africa,Health,9339,NGO,2
PR0162,Decentralized methodical system engine,West Africa,Health,99776,NGO,1
PR0163,Triple-buffered object-oriented neural-net,West Africa,Agriculture,26616,NGO,1
PR0164,Up-sized full-range projection,West Africa,Education,68016,NGO,3
PR0165,Streamlined national task-force,North Africa,Entrepreneurship,89875,Social Enterprise,4
PR0166,User-centric contextually-based model,West Africa,Entrepreneurship,8387,CBO,4
PR0167,Devolved foreground architecture,Southern Africa,Agriculture,54682,NGO,3
PR0168,Streamlined clear-thinking architecture,Southern Africa,Agriculture,39184,CBO,2
PR0169,Realigned asymmetric approach,West Africa,Entrepreneurship,24391,Faith-Based Org,2
PR0170,Ameliorated local website,Southern Africa,Infrastructure,73448,NGO,0
PR0171,Adaptive demand-driven projection,East Africa,Education,42876,NGO,4
PR0172,Profound client-server frame,Southern Africa,Infrastructure,66456,NGO,2
PR0173,Stand-alone fault-tolerant middleware,North Africa,Infrastructure,8440,NGO,5
PR0174,Organic heuristic Local Area Network,West Africa,Health,91774,Social Enterprise,2
PR0175,Diverse 5thgeneration archive,East Africa,Infrastructure,50265,Social Enterprise,0
PR0176,Exclusive reciprocal paradigm,West Africa,Agriculture,99882,Social Enterprise,3
PR0177,Ergonomic reciprocal model,East Africa,Infrastructure,54508,NGO,5
PR0178,Exclusive analyzing algorithm,East Africa,Infrastructure,24565,Social Enterprise,1
PR0179,Fully-configurable local success,East Africa,Agriculture,53439,NGO,0
PR0180,Self-enabling radical data-warehouse,Southern Africa,Agriculture,27313,Faith-Based Org,8
PR0181,Profound web-enabled knowledgebase,West Africa,Entrepreneurship,98623,NGO,1
PR0182,Integrated zero administration architecture,North Africa,Health,58311,CBO,2
PR0183,Re-contextualized reciprocal time-frame,East Africa,Infrastructure,83918,Faith-Based Org,3
PR0184,Reverse-engineered exuding interface,Southern Africa,Health,86841,CBO,4
PR0185,Expanded 3rdgeneration data-warehouse,East Africa,Health,12957,Social Enterprise,3
PR0186,Multi-channeled real-time pricing structure,West Africa,Health,56337,Social Enterprise,0
PR0187,Robust needs-based hierarchy,West Africa,Entrepreneurship,74375,NGO,0
PR0188,Centralized logistical help-desk,Southern Africa,Agriculture,89381,CBO,3
PR0189,Face-to-face stable moderator,North Africa,Infrastructure,37638,CBO,1
PR0190,Future-proofed dynamic utilization,North Africa,Education,74248,NGO,2
PR0191,Object-based foreground contingency,North Africa,Agriculture,36749,CBO,3
PR0192,Multi-tiered local software,West Africa,Education,96310,Faith-Based Org,5
PR0193,Ameliorated foreground encoding,Southern Africa,Education,73383,Social Enterprise,2
PR0194,Sharable local throughput,North Africa,Agriculture,25787,NGO,3
PR0195,Exclusive bifurcated core,East Africa,Infrastructure,98977,CBO,2
PR0196,Re-contextualized interactive open architecture,Southern Africa,Entrepreneurship,61477,CBO,0
PR0197,Adaptive 3rdgeneration capability,West Africa,Agriculture,38010,NGO,0
PR0198,Team-oriented systemic challenge,North Africa,Health,56142,Social Enterprise,1
PR0199,Digitized bandwidth-monitored knowledgebase,North Africa,Education,51488,Social Enterprise,1
PR0200,Synchronized bi-directional artificial intelligence,Southern Africa,Health,29456,Faith-Based Org,3
PR0201,Managed discrete extranet,East Africa,Agriculture,49555,CBO,1
PR0202,Assimilated context-sensitive secured line,Southern Africa,Education,8049,NGO,0
PR0203,Assimilated disintermediate monitoring,North Africa,Infrastructure,45334,Faith-Based Org,1
PR0204,Horizontal national encoding,Southern Africa,Agriculture,72237,NGO,1
PR0205,Enhanced encompassing middleware,East Africa,Health,53283,CBO,0
PR0206,Sharable web-enabled knowledge user,East Africa,Agriculture,48457,CBO,1
PR0207,Persistent bi-directional moderator,North Africa,Entrepreneurship,96382,NGO,2
PR0208,Front-line clear-thinking parallelism,Southern Africa,Health,42971,NGO,0
PR0209,Innovative bandwidth-monitored capacity,Southern Africa,Education,31822,CBO,2
PR0210,Secured systematic open system,East Africa,Agriculture,30471,Social Enterprise,2
PR0211,Virtual upward-trending software,Southern Africa,Health,56736,CBO,3
PR0212,Organic national middleware,East Africa,Health,16804,NGO,1
PR0213,Business-focused human-resource array,North Africa,Entrepreneurship,66138,NGO,2
PR0214,Versatile full-range firmware,West Africa,Entrepreneurship,31033,CBO,2
PR0215,Re-engineered transitional Graphic Interface,West Africa,Education,69563,CBO,3
PR0216,Customizable intangible capacity,East Africa,Infrastructure,89414,Social Enterprise,1
PR0217,Profit-focused hybrid protocol,East Africa,Health,58300,NGO,2
PR0218,Seamless composite extranet,West Africa,Health,85199,Faith-Based Org,1
PR0219,Up-sized foreground data-warehouse,Southern Africa,Infrastructure,17492,Faith-Based Org,0
PR0220,Phased 3rdgeneration standardization,North Africa,Entrepreneurship,99409,NGO,1
PR0221,Programmable optimizing archive,West Africa,Education,32355,NGO,1
PR0222,Down-sized analyzing application,West Africa,Entrepreneurship,18991,Social Enterprise,5
PR0223,Organic 24hour time-frame,North Africa,Health,77055,CBO,3
PR0224,Enhanced local time-frame,West Africa,Education,95229,Faith-Based Org,0
PR0225,Digitized reciprocal model,Southern Africa,Infrastructure,88471,Faith-Based Org,1
PR0226,Compatible object-oriented emulation,Southern Africa,Agriculture,83128,NGO,2
PR0227,Compatible bi-directional budgetary management,North Africa,Health,86403,CBO,3
PR0228,Stand-alone 24hour customer loyalty,North Africa,Agriculture,84920,Social Enterprise,1
PR0229,Centralized asynchronous throughput,East Africa,Health,14994,Social Enterprise,1
PR0230,Triple-buffered cohesive benchmark,West Africa,Health,73938,Social Enterprise,1
PR0231,Vision-oriented solution-oriented instruction set,West Africa,Entrepreneurship,43304,CBO,1
PR0232,Operative high-level customer loyalty,East Africa,Infrastructure,74453,Faith-Based Org,3
PR0233,Profound tangible success,Southern Africa,Health,81881,CBO,4
PR0234,Organized maximized adapter,North Africa,Education,27360,CBO,1
PR0235,Switchable user-facing alliance,East Africa,Entrepreneurship,83900,CBO,3
PR0236,Right-sized radical throughput,West Africa,Education,64151,Social Enterprise,2
PR0237,Digitized eco-centric software,Southern Africa,Agriculture,59823,NGO,2
PR0238,Profound discrete Local Area Network,West Africa,Agriculture,9781,Social Enterprise,0
PR0239,Grass-roots secondary time-frame,East Africa,Entrepreneurship,75268,Faith-Based Org,2
PR0240,Organized intangible concept,West Africa,Agriculture,87638,NGO,1
PR0241,Face-to-face bottom-line hardware,Southern Africa,Education,69536,Faith-Based Org,1
PR0242,Total leadingedge algorithm,North Africa,Infrastructure,11076,NGO,1
PR0243,Synergistic radical hierarchy,West Africa,Education,60904,NGO,0
PR0244,Ergonomic coherent monitoring,West Africa,Education,12259,CBO,3
PR0245,Operative optimizing open architecture,Southern Africa,Infrastructure,57144,NGO,4
PR0246,Operative exuding monitoring,West Africa,Infrastructure,25184,Faith-Based Org,4
PR0247,Switchable 24hour algorithm,West Africa,Agriculture,32899,NGO,2
PR0248,Profit-focused responsive capability,East Africa,Education,38295,Social Enterprise,0
PR0249,Persistent directional archive,Southern Africa,Health,61333,CBO,3
PR0250,Automated exuding definition,North Africa,Entrepreneurship,19257,Faith-Based Org,2
PR0251,Synchronized 24hour Local Area Network,North Africa,Infrastructure,78580,CBO,1
PR0252,Visionary 24/7 implementation,East Africa,Entrepreneurship,39574,Social Enterprise,2
PR0253,Assimilated national utilization,West Africa,Health,36732,Social Enterprise,3
PR0254,Enhanced foreground benchmark,West Africa,Entrepreneurship,63645,CBO,2
PR0255,Down-sized 6thgeneration archive,Southern Africa,Agriculture,36119,Faith-Based Org,2
PR0256,Grass-roots 24hour array,East Africa,Infrastructure,11045,CBO,4
PR0257,Persistent intangible service-desk,East Africa,Agriculture,85544,NGO,0
PR0258,Expanded 24/7 encoding,West Africa,Health,92428,Social Enterprise,3
PR0259,Reactive 3rdgeneration software,North Africa,Health,84387,NGO,5
PR0260,Organic bifurcated intranet,Southern Africa,Entrepreneurship,81132,NGO,1
PR0261,Customizable systemic hardware,Southern Africa,Agriculture,80246,CBO,1
PR0262,Grass-roots regional instruction set,West Africa,Infrastructure,38455,CBO,3
PR0263,Organic needs-based circuit,North Africa,Entrepreneurship,97558,Faith-Based Org,1
PR0264,Persevering didactic circuit,North Africa,Agriculture,77443,Faith-Based Org,1
PR0265,Managed upward-trending complexity,West Africa,Entrepreneurship,43738,CBO,2
PR0266,Re-engineered context-sensitive orchestration,Southern Africa,Entrepreneurship,55344,CBO,2
PR0267,Realigned even-keeled help-desk,East Africa,Agriculture,79100,NGO,3
PR0268,Reactive modular emulation,Southern Africa,Health,70593,Social Enterprise,1
PR0269,Decentralized national hierarchy,East Africa,Education,29952,NGO,3
PR0270,Devolved impactful moratorium,East Africa,Education,43591,CBO,2
PR0271,Polarized systemic hierarchy,North Africa,Infrastructure,78913,NGO,2
PR0272,User-friendly didactic budgetary management,North Africa,Entrepreneurship,96708,NGO,6
PR0273,Proactive demand-driven toolset,North Africa,Education,57165,NGO,3
PR0274,Grass-roots bottom-line firmware,North Africa,Infrastructure,9000,Faith-Based Org,3
PR0275,Profit-focused bifurcated capability,East Africa,Education,45567,CBO,2
PR0276,Realigned secondary model,East Africa,Agriculture,92837,Social Enterprise,4
PR0277,Fully-configurable exuding middleware,East Africa,Entrepreneurship,23156,NGO,0
PR0278,Team-oriented responsive secured line,Southern Africa,Health,50178,Faith-Based Org,2
PR0279,Mandatory regional task-force,West Africa,Education,96113,Faith-Based Org,1
PR0280,Organic tertiary capacity,Southern Africa,Health,76991,CBO,3
PR0281,Stand-alone exuding Local Area Network,North Africa,Entrepreneurship,52018,CBO,2
PR0282,Profound tangible functionalities,North Africa,Agriculture,17254,Faith-Based Org,1
PR0283,Distributed reciprocal superstructure,North Africa,Agriculture,58336,NGO,1
PR0284,Profound needs-based analyzer,East Africa,Health,78635,Faith-Based Org,3
PR0285,Secured 4thgeneration framework,North Africa,Health,93081,CBO,1
PR0286,Streamlined homogeneous monitoring,East Africa,Entrepreneurship,46116,Social Enterprise,1
PR0287,Operative modular Local Area Network,West Africa,Agriculture,30171,Social Enterprise,2
PR0288,Re-contextualized multimedia conglomeration,North Africa,Entrepreneurship,24523,CBO,0
PR0289,Balanced tertiary capacity,Southern Africa,Entrepreneurship,40638,NGO,3
PR0290,Synchronized radical budgetary management,West Africa,Education,67707,CBO,3
PR0291,User-centric tangible artificial intelligence,West Africa,Health,92518,Faith-Based Org,1
PR0292,Front-line contextually-based intranet,North Africa,Infrastructure,13205,NGO,2
PR0293,Decentralized executive open system,West Africa,Infrastructure,71047,CBO,3
PR0294,Cloned directional knowledgebase,West Africa,Health,92597,CBO,2
PR0295,Team-oriented intermediate concept,Southern Africa,Health,11280,NGO,3
PR0296,Operative empowering process improvement,North Africa,Entrepreneurship,12338,Social Enterprise,2
PR0297,Programmable user-facing budgetary management,West Africa,Agriculture,87557,NGO,0
PR0298,Adaptive logistical capability,Southern Africa,Health,64393,Faith-Based Org,1
PR0299,Profit-focused context-sensitive customer loyalty,East Africa,Entrepreneurship,30676,Faith-Based Org,1
PR0300,Switchable optimizing frame,North Africa,Education,11592,Social Enterprise,1
PR0301,Switchable motivating data-warehouse,East Africa,Agriculture,40405,NGO,1
PR0302,Adaptive human-resource encryption,North Africa,Infrastructure,63024,Social Enterprise,0
PR0303,Customizable zero tolerance toolset,North Africa,Education,12626,Faith-Based Org,2
PR0304,Public-key 4thgeneration Local Area Network,East Africa,Infrastructure,58955,CBO,1
PR0305,Innovative zero administration leverage,East Africa,Agriculture,7550,NGO,3
PR0306,Organic mission-critical middleware,North Africa,Infrastructure,55393,NGO,2
PR0307,Versatile optimizing monitoring,East Africa,Entrepreneurship,96656,NGO,2
PR0308,Vision-oriented client-server standardization,Southern Africa,Health,57072,Social Enterprise,0
PR0309,Optional composite alliance,West Africa,Education,31009,CBO,1
PR0310,Stand-alone user-facing adapter,North Africa,Education,16689,CBO,1
PR0311,Business-focused national knowledge user,Southern Africa,Agriculture,98705,CBO,3
PR0312,Diverse impactful functionalities,East Africa,Agriculture,57600,NGO,1
PR0313,Synergistic content-based alliance,North Africa,Entrepreneurship,15374,Faith-Based Org,2
PR0314,Mandatory intermediate algorithm,West Africa,Education,26531,NGO,2
PR0315,Ameliorated secondary challenge,West Africa,Entrepreneurship,26414,NGO,3
PR0316,Vision-oriented next generation implementation,North Africa,Health,33687,Faith-Based Org,4
PR0317,Optimized bi-directional leverage,East Africa,Entrepreneurship,92770,Social Enterprise,0
PR0318,Mandatory regional emulation,East Africa,Infrastructure,69978,Social Enterprise,2
PR0319,Open-architected web-enabled database,North Africa,Health,29954,CBO,1
PR0320,Triple-buffered incremental alliance,North Africa,Health,92539,Social Enterprise,3
PR0321,Optional attitude-oriented pricing structure,Southern Africa,Agriculture,82667,NGO,1
PR0322,Multi-layered neutral model,East Africa,Entrepreneurship,47339,NGO,1
PR0323,Re-engineered full-range protocol,East Africa,Infrastructure,43537,NGO,2
PR0324,Object-based explicit architecture,West Africa,Infrastructure,41096,Social Enterprise,2
PR0325,Horizontal exuding process improvement,West Africa,Education,64210,CBO,0
PR0326,Upgradable object-oriented archive,Southern Africa,Health,57213,Faith-Based Org,1
PR0327,Down-sized stable leverage,West Africa,Education,65713,Faith-Based Org,4
PR0328,Configurable 6thgeneration system engine,East Africa,Education,14853,NGO,3
PR0329,Business-focused bandwidth-monitored installation,East Africa,Health,69431,CBO,0
PR0330,Networked tertiary help-desk,West Africa,Education,39222,Faith-Based Org,1
PR0331,Function-based system-worthy Local Area Network,East Africa,Entrepreneurship,76581,Social Enterprise,0
PR0332,Business-focused cohesive protocol,North Africa,Entrepreneurship,62400,CBO,2
PR0333,Customizable methodical data-warehouse,North Africa,Education,75694,CBO,1
PR0334,Exclusive grid-enabled analyzer,West Africa,Entrepreneurship,28228,Social Enterprise,2
PR0335,Upgradable uniform toolset,North Africa,Health,49364,CBO,4
PR0336,Profit-focused human-resource concept,North Africa,Health,69595,Faith-Based Org,0
PR0337,Robust 24hour framework,North Africa,Health,64450,Faith-Based Org,2
PR0338,Managed upward-trending flexibility,West Africa,Infrastructure,70072,CBO,2
PR0339,Assimilated motivating capacity,North Africa,Entrepreneurship,24207,NGO,1
PR0340,Secured next generation Internet solution,Southern Africa,Health,54298,CBO,0
PR0341,Organic mobile task-force,West Africa,Education,28651,CBO,3
PR0342,Streamlined client-server protocol,Southern Africa,Agriculture,93327,CBO,3
PR0343,Reverse-engineered even-keeled productivity,West Africa,Infrastructure,93964,Social Enterprise,2
PR0344,Total background leverage,West Africa,Agriculture,75657,Faith-Based Org,0
PR0345,Customer-focused interactive implementation,West Africa,Agriculture,58075,CBO,1
PR0346,Cross-platform next generation focus group,West Africa,Entrepreneurship,90367,CBO,2
PR0347,Persevering 4thgeneration middleware,West Africa,Entrepreneurship,23185,Social Enterprise,5
PR0348,Configurable transitional methodology,North Africa,Infrastructure,82879,NGO,2
PR0349,Programmable multimedia projection,Southern Africa,Education,61355,Social Enterprise,3
PR0350,Reduced 24hour collaboration,West Africa,Education,21629,NGO,2
PR0351,Sharable optimizing core,Southern Africa,Health,84320,CBO,2
PR0352,Programmable exuding standardization,North Africa,Entrepreneurship,98945,Social Enterprise,5
